Country	Occupation Class	Sex	Age Class	Education	Marital Status	Income (Globa)	Social Responsibility	Need help making financial decisions	Do not like to be in debt at anytime	Feel satistifed when I get a really good deal	Like to buy products with prestigious brand names	Always try to buy things on sale	Once find brand that satistifies, don't experiment	Confident will have enough money to retire	Have life insurance
China		Male	60+	Primary or less	Married	High	6	Disagree Slightly	Agree Strongly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Yes
China	White Collar	Male	20-29	College	Single	High	6	Agree Slightly	Agree Strongly	Agree Slightly	Agree Strongly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	No
China	White Collar	Male	30-39	College	Married	High	4	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Yes
China		Female	50-59	Primary or less	Married	High	4	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	No
China	Blue Collar	Male	40-49	Some high school	Married	Medium low	5	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	No
China	White Collar	Female	20-29	College	Married	High	6	Disagree Slightly	Agree Strongly	Neither Agree nor Disagree	Agree Strongly	Agree Slightly	Neither Agree nor Disagree	Agree Strongly	Yes
China		Female	20-29	College	Married	Medium high	6	Neither Agree nor Disagree	Agree Strongly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Agree Slightly	Yes
China		Male	60+	College	Married	High	6	Neither Agree nor Disagree	Agree Strongly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Yes
China		Female	40-49	Some high school	Married	High	6	Neither Agree nor Disagree	Agree Strongly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Disagree Strongly	Agree Slightly	Yes
China		Female	13-19	Some high school	Single	Medium high	7	Agree Slightly	Agree Strongly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Strongly	Agree Slightly	No
China	White Collar	Male	40-49	Some high school	Married	High	5	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Slightly	No
China	Blue Collar	Female	13-19	Some high school	Single	High	6	Agree Slightly	Agree Strongly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	No
China	White Collar	Male	20-29	Some high school	Single	Medium high	4	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	No
China	Blue Collar	Male	30-39	Some high school	Married	Medium high	4	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	No
China		Male	13-19	Some high school	Single	Medium high	5	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	No
China		Male	20-29	College	Single	Medium low	4	Neither Agree nor Disagree	Agree Slightly	Agree Strongly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China	Blue Collar	Female	30-39	Some high school	Married	High	6	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China	White Collar	Male	50-59	College	Married	High	5	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Yes
China	Blue Collar	Male	40-49	Some high school	Married	High	6	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	No
China		Female	60+	Primary or less	Married	Medium high	6	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China		Male	50-59	Primary or less	Married	High	6	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Strongly	Agree Slightly	No
China	Blue Collar	Female	30-39	Some high school	Married	High	4	Agree Strongly	Agree Slightly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	No
China		Female	60+	Primary or less	Married	Medium high	4	Agree Slightly	Agree Strongly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	No
China		Male	13-19	Some high school	Single	Medium low	5	Agree Slightly	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Strongly	No
China	White Collar	Male	30-39	Some high school	Married	High	5	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Yes
China		Male	13-19	College	Single	Medium high	5	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	No
China		Female	20-29	College	Single	Medium high	5	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China	Blue Collar	Female	20-29	Some high school	Single	High	6	Disagree Slightly	Agree Slightly	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China	White Collar	Male	30-39	College	Married	High	6	Disagree Strongly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China		Male	13-19	Primary or less	Single	High	7	Agree Strongly	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China	Blue Collar	Male	30-39	Some high school	Married	High	4	Neither Agree nor Disagree	Disagree Slightly	Disagree Slightly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China	White Collar	Female	40-49	Some high school	Married	High	6	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Disagree Slightly	Disagree Slightly	No
China		Female	13-19	College	Single	High	5	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Disagree Slightly	Disagree Slightly	No
China	Executives/Professionals	Female	40-49	College	Married	High	5	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China	Executives/Professionals	Male	40-49	College	Living together	High	7	Agree Strongly	Agree Slightly	Agree Strongly	Neither Agree nor Disagree	Agree Slightly	Agree Strongly	Agree Slightly	No
China		Male	13-19	College	Single	High	5	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Yes
China		Female	20-29	Some high school	Married	Low	5	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	No
China	Blue Collar	Female	30-39	Some high school	Married	High	5	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	No
China	Executives/Professionals	Male	30-39	College	Married	High	6	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Strongly	No
China		Female	13-19	College	Single	High	5	Agree Slightly	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Yes
China	White Collar	Male	20-29	College	Single	High	5	Disagree Slightly	Agree Slightly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Yes
China	White Collar	Female	30-39	Some high school	Single	Medium high	6	Disagree Strongly	Disagree Slightly	Agree Strongly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Strongly	No
China	White Collar	Male	20-29	College	Single	High	7	Agree Strongly	Agree Slightly	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Strongly	Agree Slightly	Yes
China	Blue Collar	Female	40-49	Primary or less	Married	Medium high	3	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Strongly	Yes
China	White Collar	Male	30-39	College	Married	High	4	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Yes
China	White Collar	Female	40-49	Some high school	Married	High	6	Neither Agree nor Disagree	Agree Strongly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Yes
China	Blue Collar	Male	50-59	Primary or less	Married	Medium low	6	Neither Agree nor Disagree	Disagree Slightly	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Yes
China		Female	13-19	College	Single	High	6	Disagree Slightly	Agree Slightly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Disagree Slightly	Disagree Slightly	Yes
China	White Collar	Male	20-29	College	Single	High	4	Disagree Slightly	Disagree Slightly	Disagree Slightly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China	White Collar	Female	30-39	Some high school	Married	High	6	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Yes
China		Male	60+	Primary or less	Married	Medium low	6	Disagree Strongly	Disagree Slightly	Agree Strongly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Strongly	No
China	Executives/Professionals	Female	40-49	Some high school	Married	Medium low	6	Disagree Strongly	Disagree Slightly	Agree Strongly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Strongly	No
China		Male	13-19	Some high school	Single	High	6	Disagree Strongly	Disagree Slightly	Agree Strongly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Strongly	Yes
China	White Collar	Male	30-39	College	Married	High	4	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Yes
China	Blue Collar	Female	50-59	Primary or less	Married	Medium high	5	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China		Female	60+	Primary or less	Married	High	3	Agree Slightly	Agree Strongly	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China		Male	13-19	Some high school	Single	Low	7	Agree Strongly	Agree Slightly	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Agree Slightly	No
China	White Collar	Female	20-29	Some high school	Single	High	7	Agree Slightly	Agree Strongly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Yes
China		Female	60+	Some high school	Married	High	5	Disagree Slightly	Disagree Strongly	Agree Slightly	Disagree Slightly	Agree Slightly	Agree Strongly	Agree Strongly	No
China	Executives/Professionals	Male	20-29	Some high school	Married	High	4	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Disagree Slightly	Agree Strongly	No
China	White Collar	Female	40-49	Some high school	Married	High	6	Disagree Strongly	Disagree Strongly	Disagree Slightly	Agree Strongly	Agree Slightly	Agree Slightly	Agree Slightly	No
China		Male	60+	Primary or less	Married	Medium low	6	Agree Slightly	Disagree Slightly	Agree Slightly	Disagree Slightly	Disagree Strongly	Agree Slightly	Agree Slightly	Yes
China		Male	13-19	Primary or less	Single	High	6	Disagree Slightly	Disagree Strongly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Yes
China	Executives/Professionals	Male	30-39	Primary or less	Married	High	7	Disagree Strongly	Disagree Strongly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	No
China		Male	50-59	Primary or less	Single	High	5	Disagree Slightly	Disagree Strongly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	No
China		Female	60+	Primary or less	Married	Medium low	5	Disagree Slightly	Disagree Strongly	Agree Slightly	Disagree Slightly	Disagree Strongly	Disagree Slightly	Agree Slightly	No
China	Blue Collar	Male	13-19	Some high school	Single	High	6	Agree Slightly	Agree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Yes
China	White Collar	Female	20-29	College	Married	High	6	Agree Slightly	Agree Strongly	Neither Agree nor Disagree	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China		Female	50-59	Primary or less	Married	Medium high	4	Neither Agree nor Disagree	Disagree Strongly	Neither Agree nor Disagree	Disagree Strongly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	No
China	White Collar	Male	13-19	College	Single	High	6	Agree Strongly	Agree Strongly	Agree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Strongly	Yes
China		Female	13-19	Some high school	Single	High	5	Agree Slightly	Neither Agree nor Disagree	Agree Strongly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	No
China	Blue Collar	Female	40-49	Some high school	Married	High	4	Agree Slightly	Agree Strongly	Agree Strongly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	No
China	Blue Collar	Male	30-39	Primary or less	Married	High	4	Agree Slightly	Agree Strongly	Agree Slightly	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Yes
China		Male	20-29	College	Single	High	5	Agree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Agree Strongly	Yes
China	White Collar	Female	30-39	Some high school	Married	High	4	Agree Slightly	Disagree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China	Blue Collar	Male	13-19	Some high school	Single	Low	5	Disagree Slightly	Disagree Slightly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Yes
China	Executives/Professionals	Female	30-39	Primary or less	Married	High	4	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	No
China	White Collar	Female	40-49	Some high school	Married	High	4	Disagree Slightly	Disagree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Yes
China		Female	13-19	College	Single	Low	4	Disagree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	No
China	Blue Collar	Male	20-29	College	Single	High	7	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Yes
China	White Collar	Female	30-39	Some high school	Married	High	7	Disagree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Slightly	Yes
China	White Collar	Male	50-59	College	Married	High	7	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China		Female	13-19	Primary or less	Single	High	4	Disagree Slightly	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	No
China	White Collar	Male	30-39	Some high school	Single	High	6	Agree Strongly	Agree Strongly	Agree Slightly	Agree Strongly	Agree Slightly	Agree Slightly	Agree Slightly	Yes
China	White Collar	Male	40-49	Primary or less	Married	High	5	Agree Slightly	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Disagree Slightly	Disagree Slightly	Yes
China	White Collar	Male	30-39	Some high school	Married	High	4	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	No
China	Blue Collar	Male	20-29	Some high school	Married	High	6	Disagree Strongly	Disagree Slightly	Neither Agree nor Disagree	Disagree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China	Blue Collar	Female	30-39	Primary or less	Married	Medium high	5	Agree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China	Blue Collar	Female	40-49	Primary or less	Married	Medium high	7	Disagree Strongly	Agree Strongly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China	Blue Collar	Female	20-29	Some high school	Married	Medium high	6	Agree Slightly	Agree Slightly	Agree Slightly	Disagree Strongly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	No
China		Female	13-19	Primary or less	Single	High	7	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China	Executives/Professionals	Male	30-39	Some high school	Married	High	5	Disagree Slightly	Agree Strongly	Neither Agree nor Disagree	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	No
China	Blue Collar	Male	40-49	Primary or less	Married	Medium low	5	Disagree Slightly	Agree Strongly	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China		Female	13-19	Some high school	Single	Medium high	7	Agree Slightly	Agree Strongly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Yes
China	White Collar	Male	20-29	Some high school	Married	High	7	Disagree Slightly	Agree Strongly	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Yes
China	Executives/Professionals	Male	30-39	College	Married	High	4	Neither Agree nor Disagree	Agree Strongly	Disagree Slightly	Disagree Slightly	Disagree Slightly	Disagree Slightly	Agree Strongly	Yes
China		Female	40-49	Primary or less	Married	Low	4	Disagree Slightly	Disagree Slightly	Agree Slightly	Disagree Slightly	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	No
China		Male	13-19	Some high school	Single	High	7	Neither Agree nor Disagree	Agree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Slightly	Yes
China	White Collar	Male	20-29	Some high school	Single	High	6	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Yes
China	White Collar	Female	30-39	Some high school	Married	High	5	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Slightly	Yes
China	Blue Collar	Female	40-49	Some high school	Married	High	4	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Agree Slightly	Yes
China		Male	13-19	Some high school	Single	High	6	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Yes
China	Blue Collar	Female	30-39	Some high school	Married	High	5	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	No
China		Female	50-59	Some high school	Married	Medium high	6	Neither Agree nor Disagree	Disagree Slightly	Agree Strongly	Agree Strongly	Agree Slightly	Agree Slightly	Agree Slightly	No
China	Blue Collar	Male	40-49	Some high school	Married	High	2	Neither Agree nor Disagree	Agree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Slightly	No
China		Female	20-29	Some high school	Married	High	4	Disagree Strongly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Yes
China	Blue Collar	Male	20-29	Primary or less	Single	High	6	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Slightly	No
China		Female	60+	Primary or less	Married	Medium low	4	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Agree Strongly	Disagree Strongly	No
China		Male	13-19	Primary or less	Single	Medium high	4	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	No
China		Female	20-29	College	Single	High	4	Agree Slightly	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	No
China		Male	13-19	Primary or less	Single	High	4	Disagree Slightly	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Yes
China		Male	40-49	Some high school	Married	Medium high	3	Agree Slightly	Agree Slightly	Agree Strongly	Disagree Strongly	Agree Strongly	Agree Slightly	Neither Agree nor Disagree	No
China		Female	30-39	Primary or less	Married	Medium high	2	Agree Strongly	Agree Slightly	Agree Slightly	Agree Slightly	Agree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	Yes
China		Female	40-49	Some high school	Married	High	5	Disagree Strongly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	No
China		Female	60+	Some high school	Married	Medium high	6	Disagree Slightly	Agree Strongly	Agree Slightly	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	No
China		Male	20-29	Some high school	Single	High	5	Disagree Slightly	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	No
China		Female	40-49	Some high school	Married	High	5	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Strongly	No
China		Male	40-49	Some high school	Married	High	3	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China	Blue Collar	Male	50-59	Some high school	Married	Medium high	3	Neither Agree nor Disagree	Agree Strongly	Agree Slightly	Disagree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Strongly	No
China	Blue Collar	Male	13-19	Some high school	Single	Low	2	Agree Strongly	Agree Slightly	Disagree Slightly	Agree Slightly	Agree Slightly	Agree Strongly	Agree Slightly	No
China	Blue Collar	Female	30-39	Primary or less	Married	Medium high	2	Agree Slightly	Agree Strongly	Neither Agree nor Disagree	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	No
China	White Collar	Male	40-49	Some high school	Married	High	5	Disagree Slightly	Agree Slightly	Agree Strongly	Agree Strongly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	No
